event_name,Lamp5,Pvalb,Serpinf1,Sncg,Sst,Vip,cpm,fi_fit_slope,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,input_resistance,rheo_fast_trough_t,rheo_fast_trough_v,rheo_peak_t,rheo_peak_v,rheo_threshold_v,rheo_trough_t,rheo_trough_v,rheo_upstroke_downstroke_ratio,rheo_width,rheobase_i,sag,soma_depth,subclass,tau,v_baseline,vm_for_sag
Grin1_2_25182141_-,0.2909849360227978,0.12005019560015913,0.8100582623468074,0.6161519673419683,0.9398169053143217,0.36809982388823015,0.7593006667935148,0.3602905988855302,0.9191407703890617,0.20595567902199327,0.4207722915709931,0.08419370938334282,0.8087065409360306,0.40556028148321643,0.26640468322295074,0.33051754351774204,0.657910345722083,0.8686825770801639,0.4607521297142972,0.871428087675082,0.06669037286517764,0.6231390960072262,0.590583359127967,0.5675534792735613,0.08494432108532367,0.04500054289378522,0.32457690218964924,0.5062557219951067,0.9404847122200566,0.004923523566125517,0.5297717874001432,0.7885931314597658,0.7418652756459224
Kcna2_3_107010499_+,0.3686649286670798,0.9590003413207482,1.0,0.022011232689246395,0.4627242484485762,0.6024983941125004,0.6447175672420996,0.8497046323184179,0.158994825843725,0.951198671123262,0.3006225183899994,0.9666164883312788,0.44781639716982946,0.8149101999037651,0.9250160192493196,0.6159282543143585,0.41618809607261303,0.8790005490584827,0.692106544236757,0.8829490299654387,0.7533992788853697,0.7618549026879521,0.9530898480628853,0.6835997311464912,0.47598928095741655,0.6631398913075166,0.6084425858975889,0.4866278370641559,0.6773426251188239,0.00030389417417084596,0.9059786322472505,0.8694100657952585,0.7198799947672394
Trpm7_2_126686395_-,0.8618776955050506,0.11989177117374991,0.6360214760912388,0.8360108428420382,0.04133088573136038,0.8856027017037463,0.9899581419544797,0.0978329506780417,0.24360825821874765,0.3119954600123032,0.8497898776456586,0.8706744127366591,0.16790579742932102,0.4244107193244367,0.6654841428626104,0.4396217004512314,0.81953081792037,0.7707640802688183,0.9637848938729799,0.7686163095228521,0.6101289892385314,0.42826927867617054,0.8173551116764137,0.992438342136498,0.7567155096478038,1.0,0.49313924616189003,0.9632974519761551,0.7379441388478383,0.01025465694253722,0.5626761944062941,0.8377140967307947,0.749873070568605
Gria1_11_57218268_+,0.47218357085859186,0.9285115816582061,0.433412406995105,0.8042823499643128,0.710719274740616,0.2576422874649219,5.0866581182304075e-05,0.9609734307837755,0.897453894643835,0.9076524154544598,0.8592539108511498,0.8135189358358281,0.5118710827766377,0.9485947337906305,0.9547755598156856,0.7399299911725611,0.8755752542296753,0.918028142907219,0.8415562575217487,0.9202355870471018,0.9783197777313848,0.9235191391876835,0.9007446491286747,0.8485874079605327,0.845659834820303,0.6596878438285,0.7446421482012745,0.8368163558794108,0.9795364199506915,0.00011083390691386913,0.7285827058114356,0.8683402863059871,0.9485765789743842
Grik2_10_49116893_-,0.7019545323405183,0.019793771136126855,0.9678567355953329,0.9789603701140251,0.8833401638136701,0.6324515394286518,0.6266933814096366,0.29046768665883227,0.24148294477853582,0.08259997101048969,0.6269974925479855,0.7644330176578309,0.9770316396882385,0.29309753212524337,0.9008100257945824,0.13189054321175336,0.7495685029823147,1.0,0.18112629416829729,1.0,0.7032006087948004,0.8839207202770891,0.9347109702403439,0.2225666456496571,0.11925850765773115,0.6443154692090803,0.14731462138973636,0.6184934434381272,0.5812617248488207,0.00349085546594542,0.06601834290131622,0.6982826672937106,0.642762413579202
Scn8a_15_100927458_+,0.2276543005116004,0.2671223792584038,0.8865085537458506,0.6969797039554932,0.9555793699662997,0.012786868514758644,0.878381065464764,0.9501171097517583,0.7263910115746587,0.9493744658117544,0.7830421050700767,0.9352277348862563,0.7493249645844985,0.9306352496703625,0.9927912919835945,0.21240577739316316,0.19085081502744994,0.59312034051551,0.3754299124314529,0.5885700478598638,0.4396217004512314,0.7878145771761002,0.8513605736864762,0.5579958242683692,0.5323977374417779,0.8122890691030831,0.20223044242369206,0.5986021466241148,0.8535445886474995,0.0005229342203904479,0.8807944989064523,0.7815846996857531,0.640242382911932
Gria2_3_80597826_-,0.3810686457149403,0.05196226667599717,0.773382181883914,0.07056433294694008,0.0002795429142387201,0.6803810088986978,0.46022535128685566,0.7375892692601337,0.9936344479868526,0.39096214192118595,0.7635696812709807,0.27084805518190647,0.9643966820911575,0.9575329792735825,0.7191377032849663,0.1392927397925619,0.6654232366455184,0.7130824434132524,0.5635100023402041,0.7220981277752458,0.9124512677078868,0.4465015424362425,0.4829107442708971,0.6287269422485642,0.8537018914149566,0.8305251475244441,0.16873399389131155,0.3546774943928593,0.8849685593890817,8.496541233076036e-06,0.24622289808751013,0.9817415730822514,0.925244988183875
Cacna1e_1_154601667_-,0.05447370327480827,0.27468724084235596,1.0,0.5455696275550246,0.7175786304463214,0.202021583913029,0.5436574406274076,0.48220154953137406,0.23122740060734553,0.6261950626541671,0.2531982710717133,0.8692751876051438,0.9175532030288932,0.42177389752360883,0.5732749308816677,0.627479746454244,0.4246485183911748,0.8837360334260824,0.9340971049584036,0.8890919226869419,0.7920674942232434,0.9510109735168223,0.6939132874682985,0.9314470209437228,0.17547598135446038,0.008319383027782803,0.662556045965481,0.9081318012982774,0.833057879523255,0.00046551335800003134,0.2899684847368069,0.7084370651433285,0.9896951551077878
Gria2_3_80648506_-,0.792915459380071,0.868662100254332,0.6986641516646488,0.6748626264715887,0.6537599047443877,0.04743547195223462,0.763845291571231,0.8234579858515884,0.9590453813921679,0.7000213228507842,0.7495800139477331,0.6907232095206216,0.83790221159155,0.5804971210014807,0.49377698750284105,0.935277769431223,0.8964602767381591,0.9880031355720233,0.6777943872462179,0.986382046294431,0.8891574371815776,0.8382210848348852,0.9986945333216491,0.7210521797445802,0.7735325320273229,0.8013793858715709,0.9676036465651267,0.8170220258071387,0.9567390474835278,0.014887856143566308,0.48922808127820977,0.9085103921772185,0.9296476358473369
Gria1_11_57111843_+,0.40454885857110107,0.7157053315695466,0.7588896361585031,0.5314860624468443,0.08476420407630272,0.7016813177058073,0.016328761892476007,0.9361919825759257,0.8715049639664789,0.8684535679477801,0.6768264610039221,0.9811529933693487,0.934801467278517,0.39661871075767635,0.4631867926582762,0.34219250331601603,0.6387851439168917,0.6355431709407849,0.9012929253086085,0.6423945725589547,0.75771637935294,0.5607836221973701,0.6736307107768283,0.9435237358532382,0.8324479510805156,0.7843873131429232,0.3721291245837428,0.9189308073651203,0.7965096469076489,0.022279740513028664,0.4576277814125114,0.7047928372851735,0.8420520655837298
